Book Title,Author,Genre ,Category,Source,Book Start,Book Finish,Date,Start,Stop,Pages Read,Notes
Eating my Way Through Italy,Elizabeth Minchilli,Guidebook,Adult,Gift,8/18/2022,11/19/2022,8/18/2022,12:00,13:00,68,
Eating my Way Through Italy,Elizabeth Minchilli,Guidebook,Adult,Gift,8/18/2022,11/19/2022,8/18/2022,21:30,23:00,55,
Come as you are,Emily Nagoski,Self Help,Adult,Library book,8/10/2022,DNF,8/21/2022,21:06,21:51,31,
Eating my Way Through Italy,Elizabeth Minchilli,Guidebook,Adult,Gift,8/18/2022,11/19/2022,8/24/2022,22:00,22:26,26,
American Gods,Neil Gaiman,Fantasy,Adult,Library ebook,8/9/2022,9/26/2022,8/26/2022,15:00,16:00,46,
American Gods,Neil Gaiman,Fantasy,Adult,Library ebook,8/9/2022,9/26/2022,9/7/2022,21:30,21:41,6,Didn't track rest of book
The Lost Apothecary,Sarah Penner,Fantasy,Adult,Library book,9/1/2022,11/26/2022,,,,268,Didn't track book
Eating my Way Through Italy,Elizabeth Minchilli,Guidebook,Adult,Gift,8/18/2022,11/19/2022,11/19/2022,10:00,20:00,129,
A Darker Shade of Magic,V.E. Schwab,Fantasy,Adult,Library book,12/13/2022,12/31/2022,12/13/2022,19:00,19:30,13,
A Darker Shade of Magic,V.E. Schwab,Fantasy,Adult,Library book,12/13/2022,12/31/2022,12/13/2022,22:30,23:00,27,
A Darker Shade of Magic,V.E. Schwab,Fantasy,Adult,Library book,12/13/2022,12/31/2022,12/26/2022,14:00,14:30,10,
A Darker Shade of Magic,V.E. Schwab,Fantasy,Adult,Library book,12/13/2022,12/31/2022,12/27/2022,22:00,23:09,100,
A Darker Shade of Magic,V.E. Schwab,Fantasy,Adult,Library book,12/13/2022,12/31/2022,12/31/2022,0:30,1:30,70,
A Darker Shade of Magic,V.E. Schwab,Fantasy,Adult,Library book,12/13/2022,12/31/2022,12/31/2022,10:20,12:55,152,
