record_id,year,place,canoe,club,division,gender,boat_type,age_category,club_raw,division_raw,canoe_raw,finish_time_raw,finish_time_clean,raw_finish_seconds,finish_time,start_adjustment_seconds,start_adjustment_minutes,adjusted_finish_seconds,adjusted_finish_time,is_dq,dq_time_text,is_santa_barbara,race_field_size,race_finish_count,race_unlimited_count,race_spec_count,race_unlimited_share,division_field_size,division_finish_count,performance_percentile
368,2014,27,158,Pale Kai Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Pale Kai Outrigger Canoe Club,Co-Ed - Open,158,5:12:50,5:12:50,18770,5:12:50,-1200,-20,17570,4:52:50,FALSE,,FALSE,60,60,18,10,0.6428571428571429,18,18,0.8235294117647058
369,2014,28,101,Oceanside Outrigger Canoe Club,women - senior masters,Women,Other,Senior Masters,Oceanside Outrigger Canoe Club,Women - Senior Masters,101,5:34:06,5:34:06,20046,5:34:06,0,0,20046,5:34:06,FALSE,,FALSE,60,60,18,10,0.6428571428571429,2,2,1
370,2014,29,310,Marina del Rey Outrigger Canoe Club,women - unlimited,Women,Unlimited,Open,Marina del Rey Outrigger Canoe Club,Women - Unlimited,310,5:34:19,5:34:19,20059,5:34:19,0,0,20059,5:34:19,FALSE,,FALSE,60,60,18,10,0.6428571428571429,11,11,0.09999999999999998
371,2014,30,33X,Hui Wa'a Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Hui Wa'a Outrigger Canoe Club,Co-Ed - Open,33X,5:18:19,5:18:19,19099,5:18:19,-1200,-20,17899,4:58:19,FALSE,,FALSE,60,60,18,10,0.6428571428571429,18,18,0.7647058823529411
372,2014,31,4,Dana Outrigger Canoe Club,women - bradley,Women,Other,Open,Dana Outrigger Canoe Club,Women - Bradley,4,5:40:02,5:40:02,20402,5:40:02,0,0,20402,5:40:02,FALSE,,FALSE,60,60,18,10,0.6428571428571429,7,7,0.6666666666666667
373,2014,32,58,Offshore Outrigger Canoe Club,co-ed - open unlimited,Co-Ed,Unlimited,Open,Offshore Outrigger Canoe Club X,Co-Ed - Open UL,58,5:20:36,5:20:36,19236,5:20:36,-1200,-20,18036,5:00:36,FALSE,,FALSE,60,60,18,10,0.6428571428571429,7,7,0
374,2014,33,88,Newport Aquatic Center (NAC),women - unlimited,Women,Unlimited,Open,Newport Aquatic Center (NAC),Women - Unlimited,88,5:40:37,5:40:37,20437,5:40:37,0,0,20437,5:40:37,FALSE,,FALSE,60,60,18,10,0.6428571428571429,11,11,0
375,2014,34,14,Dana Outrigger Canoe Club,women - senior masters,Women,Other,Senior Masters,Dana Outrigger Canoe Club,Women - Senior Masters,14,5:41:13,5:41:13,20473,5:41:13,0,0,20473,5:41:13,FALSE,,FALSE,60,60,18,10,0.6428571428571429,2,2,0
376,2014,35,81,Outrigger Santa Cruz,women - masters,Women,Other,Masters,Outrigger Santa Cruz,Women - Masters,81,5:41:31,5:41:31,20491,5:41:31,0,0,20491,5:41:31,FALSE,,FALSE,60,60,18,10,0.6428571428571429,3,3,1
377,2014,36,19,San Diego Outrigger Canoe Club,women - spec,Women,Spec,Open,San Diego Outrigger Canoe Club,Women - Spec,19,5:41:34,5:41:34,20494,5:41:34,0,0,20494,5:41:34,FALSE,,FALSE,60,60,18,10,0.6428571428571429,10,10,0.4444444444444444
378,2014,37,133,Marina del Rey Outrigger Canoe Club,women - bradley,Women,Other,Open,Marina del Rey Outrigger Canoe Club,Women - Bradley,133,5:42:45,5:42:45,20565,5:42:45,0,0,20565,5:42:45,FALSE,,FALSE,60,60,18,10,0.6428571428571429,7,7,0.5
379,2014,38,1,Dana Outrigger Canoe Club,women - 19 & under,Women,Other,19 & Under,Dana Outrigger Canoe Club,Women - 19 & Under,1,5:43:03,5:43:03,20583,5:43:03,0,0,20583,5:43:03,FALSE,,FALSE,60,60,18,10,0.6428571428571429,2,2,1
380,2014,39,94,Kahakai Outrigger Canoe Club,women - masters,Women,Other,Masters,Kahakai Outrigger Canoe Club,Women - Masters,94,5:43:46,5:43:46,20626,5:43:46,0,0,20626,5:43:46,FALSE,,FALSE,60,60,18,10,0.6428571428571429,3,3,0.5
381,2014,40,102,Na Leo O'Ke Kai,co-ed - open,Co-Ed,Other,Open,Na Leo O Ke Kai,Co-Ed - Open,102,5:29:16,5:29:16,19756,5:29:16,-1200,-20,18556,5:09:16,FALSE,,FALSE,60,60,18,10,0.6428571428571429,18,18,0.6470588235294117
382,2014,41,89,Hanohano Outrigger Canoe Club,women - bradley,Women,Other,Open,Hanohano Outrigger Canoe Club,Women - Bradley,89,5:50:42,5:50:42,21042,5:50:42,0,0,21042,5:50:42,FALSE,,FALSE,60,60,18,10,0.6428571428571429,7,7,0.33333333333333337
383,2014,42,105,Team Arizona Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Team Arizona Outrigger Canoe Club,Co-Ed - Open,105,5:33:15,5:33:15,19995,5:33:15,-1200,-20,18795,5:13:15,FALSE,,FALSE,60,60,18,10,0.6428571428571429,18,18,0.5882352941176471
384,2014,43,16,Imua Outrigger Canoe Club,co-ed - open,Co-Ed,Other,Open,Imua Outrigger Canoe Club,Co-Ed - Open,16,5:33:37,5:33:37,20017,5:33:37,-1200,-20,18817,5:13:37,FALSE,,FALSE,60,60,18,10,0.6428571428571429,18,18,0.5294117647058824
385,2014,44,117,Lanakila Outrigger Canoe Club,women - spec,Women,Spec,Open,Lanakila Outrigger Canoe Club,Women - Spec,117,5:54:07,5:54:07,21247,5:54:07,0,0,21247,5:54:07,FALSE,,FALSE,60,60,18,10,0.6428571428571429,10,10,0.33333333333333337
386,2014,45,28,Oceanside Outrigger Canoe Club,women - bradley,Women,Other,Open,Oceanside Outrigger Canoe Club,Women - Bradley,28,5:57:37,5:57:37,21457,5:57:37,0,0,21457,5:57:37,FALSE,,FALSE,60,60,18,10,0.6428571428571429,7,7,0.16666666666666663
