Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Stand Up Paddleboarding,2024-07-22 17:51:17,false,"Santa Barbara Stand Up Paddleboarding","7.30","892","01:33:57","157","187","5.0","12:52","6:50","0.0","3728","59.0","No","00:06:39.3","8","75.2","01:09:30","01:33:57"
Stand Up Paddleboarding,2024-07-20 07:36:44,false,"Santa Barbara Stand Up Paddleboarding","2.59","323","00:37:38","145","186","3.1","14:32","1:49","0.0","1002","62.6","No","00:10:52","3","77.0","00:20:17","00:55:14"
Stand Up Paddleboarding,2024-07-09 17:43:57,false,"Santa Barbara Stand Up Paddleboarding","4.13","466","01:07:30","132","174","2.6","16:21","9:07","0.0","1995","69.8","No","00:02:48.4","5","77.0","00:48:12","01:07:30"
Stand Up Paddleboarding,2024-07-03 17:43:48,false,"Santa Barbara Stand Up Paddleboarding","6.75","700","01:19:19","152","182","4.3","11:45","7:24","0.0","3160","64.4","No","00:10:01","7","78.8","00:58:57","01:21:27"
Stand Up Paddleboarding,2024-07-02 17:29:13,false,"Oc1 w/ Shelby :)","3.92","471","01:05:37","136","170","2.7","16:44","10:03","0.0","2156","68.0","No","00:15:48","4","77.0","00:50:53","01:05:37"
Stand Up Paddleboarding,2024-07-01 17:51:32,false,"Santa Barbara Stand Up Paddleboarding","6.58","496","01:24:32","125","155","2.2","12:51","7:46","0.0","3285","60.8","No","00:10:49","7","75.2","01:15:30","01:24:32"
Stand Up Paddleboarding,2024-06-29 09:03:25,false,"Santa Barbara Stand Up Paddleboarding","11.22","982","02:04:41","148","186","3.7","11:07","7:28","0.0","5005","62.6","No","00:04:24.5","12","73.4","01:33:01","02:04:41"
Stand Up Paddleboarding,2024-06-26 17:49:13,false,"Santa Barbara Stand Up Paddleboarding","8.81","785","01:56:21","134","186","2.7","13:12","8:12","0.0","3797","66.2","No","00:10:46","9","75.2","01:17:43","01:56:21"
Stand Up Paddleboarding,2024-06-22 10:45:25,false,"Stand Up Paddleboarding","10.24","1,145","01:39:51","170","183","5.0","9:45","7:09","0.0","5056","64.4","No","00:03:39.1","11","73.4","01:20:17","01:39:51"
Stand Up Paddleboarding,2024-06-22 10:16:59,false,"San Diego Stand Up Paddleboarding","1.69","199","00:22:37","137","161","2.3","13:25","3:14","0.0","806","66.2","No","00:08:06.6","2","78.8","00:14:37","00:23:01"
Stand Up Paddleboarding,2024-06-19 17:50:05,false,"Santa Barbara Stand Up Paddleboarding","6.72","586","01:21:56","138","169","3.1","12:12","7:14","0.0","3009","64.4","No","00:09:24.6","7","77.0","01:01:04","01:21:56"
Stand Up Paddleboarding,2024-06-17 17:46:39,false,"Santa Barbara Stand Up Paddleboarding","7.71","570","01:30:49","130","164","2.3","11:47","1:38","0.0","3539","66.2","No","00:09:27.9","8","73.4","01:08:00","01:30:49"
Stand Up Paddleboarding,2024-06-15 07:12:27,false,"Stand Up Paddleboarding","10.24","814","01:45:05","146","174","3.3","10:16","6:57","0.0","5001","64.4","No","00:03:04.0","11","73.4","01:23:40","01:45:05"
Stand Up Paddleboarding,2024-06-14 06:50:46,false,"Santa Barbara Stand Up Paddleboarding","1.86","273","00:21:31","181","190","3.9","11:35","7:53","0.0","1144","64.4","No","00:09:30.7","2","68.0","00:18:34","00:21:31"
Stand Up Paddleboarding,2024-06-12 17:56:46,false,"Santa Barbara Stand Up Paddleboarding","7.22","543","01:19:58","133","166","2.7","11:05","7:10","0.0","3191","66.2","No","00:04:03.0","8","75.2","01:00:27","01:24:32"
Stand Up Paddleboarding,2024-06-10 18:05:47,false,"Santa Barbara Stand Up Paddleboarding","7.67","754","01:33:51","150","181","3.6","12:14","6:54","0.0","3627","62.6","No","00:09:38.2","8","73.4","01:10:37","01:33:51"
Stand Up Paddleboarding,2024-06-01 10:46:34,false,"Stand Up Paddleboarding","10.03","1,062","01:33:48","169","182","5.0","9:21","7:19","0.0","4825","64.4","No","00:01:25.9","11","71.6","01:15:19","01:33:48"
Stand Up Paddleboarding,2024-06-01 10:16:34,false,"Los Angeles Stand Up Paddleboarding","2.45","229","00:25:45","138","164","2.3","10:31","8:22","0.0","967","68.0","No","00:05:35.5","3","73.4","00:19:39","00:25:45"
Stand Up Paddleboarding,2024-05-29 17:46:04,false,"Santa Barbara Stand Up Paddleboarding","7.98","626","01:35:00","131","170","2.4","11:55","7:58","0.0","3519","64.4","No","00:09:32.8","8","71.6","01:05:07","01:35:00"
Stand Up Paddleboarding,2024-05-27 17:41:33,false,"Santa Barbara Stand Up Paddleboarding","7.59","626","01:35:20","130","160","2.4","12:33","8:04","0.0","3579","64.4","No","00:10:16","8","73.4","01:07:25","01:35:20"
Stand Up Paddleboarding,2024-05-25 09:25:38,false,"Santa Barbara Stand Up Paddleboarding","9.74","728","01:42:30","138","166","2.3","10:32","7:25","0.0","4589","59.0","No","00:08:52.7","10","69.8","01:20:13","01:42:30"
Stand Up Paddleboarding,2024-05-25 08:11:02,false,"Santa Barbara Stand Up Paddleboarding","1.85","279","00:21:35","183","192","3.8","11:41","7:02","0.0","1192","66.2","No","00:09:24.9","2","71.6","00:18:30","00:21:35"
Stand Up Paddleboarding,2024-05-24 17:35:12,false,"Santa Barbara Stand Up Paddleboarding","3.31","487","00:50:36","150","186","3.6","15:17","8:43","0.0","2004","60.8","No","00:05:00.9","4","75.2","00:38:00","00:50:36"
Stand Up Paddleboarding,2024-05-20 18:02:30,false,"Santa Barbara Stand Up Paddleboarding","6.36","527","01:17:44","132","171","2.6","12:13","7:31","0.0","2952","60.8","No","00:06:05.3","7","69.8","01:01:44","01:17:44"
Stand Up Paddleboarding,2024-05-18 09:43:37,false,"Stand Up Paddleboarding","8.68","957","01:20:57","174","188","5.0","9:20","7:12","0.0","4147","62.6","No","00:06:00.0","9","71.6","01:12:20","01:20:57"
Stand Up Paddleboarding,2024-05-17 17:42:09,false,"Santa Barbara Stand Up Paddleboarding","1.35","74","00:16:16","102","130","0.3","12:03","8:40","0.0","623","59.0","No","00:05:21.7","2","73.4","00:15:31","00:16:16"
Stand Up Paddleboarding,2024-05-11 10:02:17,false,"San Diego Stand Up Paddleboarding","13.77","1,628","02:26:51","167","188","5.0","10:40","7:07","0.0","6861","64.4","No","00:08:10.7","14","75.2","01:56:59","02:26:51"
Stand Up Paddleboarding,2024-05-08 17:49:46,false,"Santa Barbara Stand Up Paddleboarding","7.46","630","01:33:02","135","179","3.2","12:29","6:51","0.0","3359","62.6","No","00:05:49.6","8","73.4","01:04:26","01:33:02"
Stand Up Paddleboarding,2024-05-06 17:44:09,false,"Santa Barbara Stand Up Paddleboarding","7.94","671","01:24:08","145","180","3.3","10:36","7:21","0.0","3532","59.0","No","00:09:14.8","8","78.8","01:04:29","01:24:08"
Stand Up Paddleboarding,2024-05-04 06:54:25,false,"Santa Barbara Stand Up Paddleboarding","6.34","522","01:22:53","130","183","2.5","13:04","7:11","0.0","2994","60.8","No","00:05:10.9","7","73.4","00:55:09","01:59:20"
Stand Up Paddleboarding,2024-05-01 17:43:54,false,"Santa Barbara Stand Up Paddleboarding","8.66","794","01:40:48","148","179","3.7","11:38","7:03","0.0","3516","62.6","No","00:09:26","9","73.4","01:13:42","01:45:01"
Stand Up Paddleboarding,2024-05-01 07:14:05,false,"Santa Barbara Stand Up Paddleboarding","1.82","265","00:20:45","183","189","4.0","11:25","8:47","0.0","1131","64.4","No","00:09:11.6","2","68.0","00:16:26","00:36:52"
Stand Up Paddleboarding,2024-04-29 17:41:28,false,"Santa Barbara Stand Up Paddleboarding","7.45","756","01:27:04","153","184","4.7","11:42","6:49","0.0","3324","59.0","No","00:06:29.8","8","78.8","01:07:08","01:27:04"
Stand Up Paddleboarding,2024-04-27 09:17:49,false,"Santa Barbara Stand Up Paddleboarding","6.99","701","01:20:10","150","211","3.9","11:28","8:22","0.0","3308","53.6","No","00:09:55.1","7","77.0","01:01:43","01:20:10"
